ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,OtherRace,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
87001,3684,254,3,2783,4,0,7,22,611,5850,13,5850,0,Algodones,NM
87002,22517,8465,267,281,60,9,31,223,13181,24866,272,5914,9960,Belen,NM
87004,10136,2085,59,1352,31,10,20,71,6508,26013,176,18373,5117,Bernalillo,NM
87005,799,492,7,125,1,2,0,13,159,500,29,0,500,Bluewater,NM
87006,703,313,7,4,3,0,2,5,369,956,12,280,676,Bosque,NM
87007,1080,19,1,990,0,0,0,13,57,650,2,0,650,Casa Blanca,NM
87008,2552,2013,15,40,29,1,3,42,409,12659,221,11302,1197,Cedar Crest,NM
87010,1139,890,12,10,8,0,3,30,186,11678,215,11608,25,Cerrillos,NM
87011,84,71,0,1,2,0,0,1,9,0,0,0,0,Claunch,NM
87012,261,20,0,7,0,0,1,7,226,190,18,190,0,Coyote,NM
87013,5200,539,11,3740,7,0,10,76,817,1280,10,815,450,Cuba,NM
87014,654,87,2,47,0,0,0,10,508,0,0,0,0,Cubero,NM
87015,13105,9376,105,195,81,11,28,209,3100,20598,327,8526,8664,Edgewood,NM
87016,3730,1893,57,99,10,4,0,56,1611,2310,41,1726,0,Estancia,NM
87017,429,34,0,2,0,0,1,6,386,0,0,0,0,Gallina,NM
87018,522,10,1,492,0,0,0,7,12,0,0,0,0,Counselor,NM
87020,11347,3573,167,1575,80,15,15,153,5769,4170,35,1554,300,Grants,NM
87021,3472,742,29,413,11,0,1,26,2250,250,5,0,250,Milan,NM
87022,907,13,0,793,1,0,0,16,84,2525,5,1000,1525,Isleta,NM
87023,665,200,13,3,1,0,1,7,440,0,0,0,0,Jarales,NM
87024,2214,167,1,1828,1,0,0,9,208,1608,27,1258,250,Jemez Pueblo,NM
87025,1237,978,3,26,13,0,1,16,200,6116,25,3988,1600,Jemez Springs,NM
87026,4063,233,18,3312,5,0,0,43,452,6614,13,6614,0,Laguna,NM
87027,309,85,5,17,1,0,2,5,194,6,1,0,0,La Jara,NM
87028,145,61,0,1,0,0,0,3,80,0,0,0,0,La Joya,NM
87029,237,183,0,4,1,0,0,0,49,183,12,100,0,Lindrith,NM
87031,44075,14925,511,900,219,22,79,486,26933,43845,472,15968,19760,Los Lunas,NM
87032,291,171,2,3,2,0,2,4,107,411,12,147,250,McIntosh,NM
87034,2207,15,3,2111,0,0,0,20,58,5500,4,3500,2000,Pueblo of Acoma,NM
87035,7268,4235,78,120,28,0,14,135,2658,26150,61,24262,838,Moriarty,NM
87036,1868,955,9,13,5,1,3,32,850,8324,85,2605,5111,Mountainair,NM
87037,677,11,0,632,0,0,0,9,25,0,0,0,0,Nageezi,NM
87038,616,12,2,535,17,0,0,3,47,0,0,0,0,New Laguna,NM
87040,496,5,1,464,4,0,0,6,16,2700,8,2700,0,Paguate,NM
87041,881,122,8,141,0,1,0,5,604,0,0,0,0,Pena Blanca,NM
87042,3644,1497,23,78,9,1,8,39,1989,551,14,56,495,Peralta,NM
87043,5052,3805,42,50,51,1,1,55,1047,91147,631,50108,36010,Placitas,NM
87044,387,139,0,33,1,0,0,1,213,500,1,500,0,Ponderosa,NM
87045,1751,114,0,1531,0,1,0,18,87,27,1,27,0,Prewitt,NM
87046,186,130,0,7,1,0,0,4,44,225,1,0,225,Regina,NM
87047,4894,3851,44,32,39,6,12,56,854,26631,226,16795,4687,Sandia Park,NM
87048,8682,5861,81,117,101,0,23,116,2383,90354,721,55302,26693,Corrales,NM
87049,973,54,0,791,0,0,0,15,113,10,1,0,0,San Fidel,NM
87051,969,251,1,11,2,0,0,8,696,0,0,0,0,San Rafael,NM
87052,3182,5,0,3126,1,0,0,15,35,2700,1,2700,0,Santo Domingo Pueblo,NM
87053,998,54,0,754,1,0,0,4,185,935,10,185,750,San Ysidro,NM
87056,954,668,0,8,9,0,6,5,258,1883,33,568,815,Stanley,NM
87059,9604,6789,64,96,62,3,17,151,2422,22852,370,8952,10419,Tijeras,NM
87061,371,132,1,6,4,0,1,1,226,82,4,82,0,Torreon,NM
87062,1869,603,11,22,0,0,7,13,1213,500,1,0,500,Veguita,NM
87063,323,81,2,2,2,0,0,3,233,0,0,0,0,Willard,NM
87064,161,29,0,0,0,0,0,0,132,148,7,148,0,Youngsville,NM
87068,4755,2334,11,771,18,0,2,39,1580,5973,113,3053,1731,Bosque Farms,NM
87070,42,23,2,0,0,0,0,0,17,0,0,0,0,Clines Corners,NM
87072,660,3,0,608,0,1,0,11,37,0,0,0,0,Cochiti Pueblo,NM
87083,569,340,5,119,6,0,0,15,84,447,25,337,100,Cochiti Lake,NM
87102,21204,5308,655,881,199,14,56,351,13740,174544,681,95516,22791,Albuquerque,NM
87104,12123,4288,170,483,60,4,33,129,6956,146043,845,106041,13719,Albuquerque,NM
87105,57680,8530,533,2082,148,14,195,416,45762,60465,625,45304,5370,Albuquerque,NM
87106,27013,13695,956,1217,1044,13,76,625,9387,163377,1269,135024,9147,Albuquerque,NM
87107,31183,11661,314,918,186,20,59,375,17650,373032,1502,242202,84827,Albuquerque,NM
87108,38647,12852,1567,2386,906,30,93,742,20071,98693,1046,85250,2836,Albuquerque,NM
87109,40432,21665,1094,2344,982,40,103,764,13440,128315,1085,57174,29848,Albuquerque,NM
87110,38587,20690,855,1364,1065,19,71,740,13783,243098,1562,183104,25151,Albuquerque,NM
87111,56490,38352,1196,1346,1796,47,89,1121,12543,328406,1882,189844,106134,Albuquerque,NM
87112,43584,24310,1222,1411,1228,24,65,1026,14298,82741,911,52722,17491,Albuquerque,NM
87113,14477,6771,184,367,970,8,38,259,5880,39208,241,8775,15624,Albuquerque,NM
87114,61623,27896,1764,2079,1235,57,102,1403,27087,118320,1131,79056,24938,Albuquerque,NM
87116,4117,2572,374,81,124,14,5,254,693,1770,6,1550,0,Albuquerque,NM
87117,310,216,26,8,7,1,2,14,36,0,0,0,0,Kirtland AFB,NM
87120,58023,21290,1611,2357,1087,64,157,1037,30420,179645,1120,98914,59846,Albuquerque,NM
87121,76721,9707,1913,2448,520,41,162,759,61171,9414,175,6320,1726,Albuquerque,NM
87122,17977,12915,209,128,1118,3,30,352,3222,229183,864,124770,62429,Albuquerque,NM
87123,41468,18519,1510,1923,1814,46,79,843,16734,104851,921,28351,64347,Albuquerque,NM
87124,51404,28330,1185,1247,980,56,121,1114,18371,65637,1030,25949,14948,Rio Rancho,NM
87144,37719,19345,1059,1054,570,66,88,832,14705,46578,739,22013,17489,Rio Rancho,NM
87301,23674,5061,225,10136,425,6,42,642,7137,14130,167,6464,4748,Gallup,NM
87305,3350,232,5,2796,0,0,5,64,248,10599,47,4684,1110,Gallup,NM
87310,938,0,3,918,0,0,0,3,14,0,0,0,0,Brimhall,NM
87311,4208,13,7,4057,0,0,0,36,95,32,2,32,0,Church Rock,NM
87312,579,95,1,421,2,0,3,27,30,0,0,0,0,Continental Divide,NM
87313,5662,156,16,5332,22,0,1,54,81,0,0,0,0,Crownpoint,NM
87315,149,99,0,25,1,0,0,5,19,1200,5,0,1200,Fence Lake,NM
87316,1304,44,2,1210,0,0,0,20,28,425,16,375,0,Fort Wingate,NM
87317,1956,137,11,912,1,2,0,62,831,0,0,0,0,Gamerco,NM
87319,1832,55,1,1712,1,0,0,28,35,0,0,0,0,Mentmore,NM
87320,765,2,0,733,0,0,0,13,17,0,0,0,0,Mexican Springs,NM
87321,2226,611,6,1423,7,0,0,64,115,1495,37,330,165,Ramah,NM
87322,247,46,0,193,0,0,0,0,8,0,0,0,0,Rehoboth,NM
87323,4558,495,10,3665,3,8,5,60,312,6200,6,0,5900,Thoreau,NM
87325,3034,43,1,2867,41,0,0,35,47,0,0,0,0,Tohatchi,NM
87326,1688,172,4,1446,5,1,0,19,41,0,0,0,0,Vanderwagen,NM
87327,7883,172,14,7398,29,1,0,64,205,5526,23,2459,3067,Zuni,NM
87328,2668,38,6,2511,9,0,0,28,76,939,10,0,413,Navajo,NM
87347,309,173,8,79,0,0,0,10,39,0,0,0,0,Jamestown,NM
87357,604,56,3,489,16,0,0,11,29,5,1,0,0,Pinehill,NM
87364,1111,3,0,1079,0,0,0,17,12,0,0,0,0,Sheep Springs,NM
87375,3193,33,2,3050,0,0,0,46,62,250,2,0,0,Yatahey,NM
