ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,OtherRace,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
02081,18472,17110,329,19,449,1,52,153,359,63267,136,33480,16322,Walpole,MA
02090,14636,13398,127,3,725,0,22,124,237,308295,758,165513,103615,Westwood,MA
02093,10955,10541,60,16,112,0,6,87,133,19133,119,4495,7310,Wrentham,MA
02108,3825,3389,96,5,139,0,14,46,136,1196559,978,736174,148907,Boston,MA
02109,3771,3194,114,6,224,0,19,43,171,623366,2402,202783,146183,Boston,MA
02110,1733,1501,40,2,93,1,0,26,70,1023858,1043,386686,227391,Boston,MA
02111,7383,3100,259,3,3567,2,13,136,303,511360,788,192634,89176,Boston,MA
02113,6915,6348,46,11,172,3,19,64,252,68817,293,46509,14282,Boston,MA
02114,11999,8989,804,12,1164,3,34,210,783,349595,939,222645,73411,Boston,MA
02115,28441,18410,2187,41,4222,12,95,678,2796,240391,884,131091,68334,Boston,MA
02116,20628,14658,1235,24,3094,3,84,395,1135,2413548,3626,1224018,597003,Boston,MA
02118,26498,12149,5079,50,3612,7,129,520,4952,568045,1569,441225,76621,Boston,MA
02119,25346,1730,13673,115,341,15,1127,883,7462,235941,297,25329,230,Roxbury,MA
02120,15181,6472,3112,49,1684,5,65,318,3476,10885,219,9843,0,Roxbury Crossing,MA
02121,25978,456,16930,111,190,4,475,705,7107,16999,56,16679,0,Dorchester,MA
02122,23479,7935,6251,46,4026,11,1350,944,2916,15826,195,12429,645,Dorchester,MA
02124,47783,8217,26354,135,2954,6,1027,1535,7555,72309,492,69398,750,Dorchester Center,MA
02125,33295,9701,9155,89,3724,16,2726,1573,6311,56516,675,50411,3855,Dorchester,MA
02126,25562,959,20555,81,215,3,160,611,2978,7349,47,5328,1200,Mattapan,MA
02127,31799,24947,1540,36,1515,10,134,369,3248,115490,613,85487,17302,Boston,MA
02128,40508,15051,1283,69,1410,3,655,618,21419,31577,423,25581,2961,Boston,MA
02129,16439,12458,764,18,1334,10,62,202,1591,192820,787,143257,35075,Charlestown,MA
02130,35401,20209,4253,59,1822,7,192,876,7983,451114,3720,388086,15473,Jamaica Plain,MA
02131,29826,14034,6342,82,787,9,191,643,7738,78311,1112,65255,5843,Roslindale,MA
02132,25861,20681,1283,25,1635,7,85,391,1754,170837,998,93766,65335,West Roxbury,MA
02134,21503,12644,973,17,3954,13,485,615,2802,52142,591,39100,3773,Allston,MA
02135,42780,29895,1905,38,5706,11,565,859,3801,251799,1674,89838,10524,Brighton,MA
02136,28488,8408,12338,60,488,11,235,597,6351,17832,278,12556,3518,Hyde Park,MA
02138,36314,24934,2258,56,5385,4,134,1298,2245,2180357,5200,1877455,70260,Cambridge,MA
02139,36349,20950,4932,60,5737,18,215,1406,3031,401946,3357,318732,38201,Cambridge,MA
02140,17607,10295,3110,25,2362,6,66,616,1127,365498,2373,325538,11554,Cambridge,MA
02141,11910,7536,1116,13,1505,2,145,345,1248,79099,482,74077,3203,Cambridge,MA
02142,3141,1658,170,5,859,1,15,97,336,143089,441,77277,3300,Cambridge,MA
02143,24514,17869,1196,30,2460,9,412,659,1879,182043,1940,146159,17612,Somerville,MA
02144,23891,19377,1149,28,1548,3,103,552,1131,161442,1735,149011,5123,Somerville,MA
02145,25439,13815,2502,32,2191,4,1170,828,4897,76163,747,65152,5416,Somerville,MA
02148,59503,31226,8492,76,11919,13,1256,1532,4989,51999,816,41109,6465,Malden,MA
02149,41550,22254,5636,84,1961,13,1827,989,8786,37093,405,22881,12061,Everett,MA
02150,35124,8865,2337,55,1052,2,421,567,21825,20954,231,15003,2328,Chelsea,MA
02151,51808,32316,2241,66,2856,6,789,887,12647,47380,545,34766,9204,Revere,MA
02152,17497,15486,329,19,209,6,138,244,1066,26088,323,19215,5087,Winthrop,MA
02155,57964,44012,4810,81,4198,8,947,1355,2553,139185,1385,117223,4878,Medford,MA
02163,2582,1462,171,8,628,1,13,109,190,4575,8,2025,1300,Boston,MA
02169,55055,37757,3143,99,10030,13,679,1128,2206,110492,770,45358,28395,Quincy,MA
02170,19505,11957,397,16,6365,5,46,281,438,33890,358,19333,8626,Quincy,MA
02171,17711,10734,458,22,5729,3,43,277,445,94472,366,24838,48682,Quincy,MA
02176,26983,24161,625,11,1020,1,100,402,663,121305,765,90309,12081,Melrose,MA
02180,21437,19404,339,18,723,5,83,231,634,40886,401,22454,11575,Stoneham,MA
02184,35744,30471,911,46,2687,10,245,484,890,120052,481,36025,26853,Braintree,MA
02186,27003,20489,3705,30,1111,5,178,604,881,377672,1123,244187,92346,Milton,MA
02188,14608,12572,594,23,579,0,210,271,359,13438,147,9138,2233,Weymouth,MA
02189,14559,12453,582,38,400,4,295,289,498,22687,217,5900,250,East Weymouth,MA
02190,16119,14555,278,14,528,6,205,204,329,20906,163,14664,890,South Weymouth,MA
02191,8457,7784,73,12,209,0,54,99,226,46300,98,26387,19410,North Weymouth,MA
02199,1146,935,15,1,143,0,0,17,35,620912,369,330173,131610,Boston,MA
02203,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston,MA
02210,2090,1757,34,2,148,2,4,37,106,474479,795,137309,115703,Boston,MA
02215,26125,16903,989,29,5184,7,94,793,2126,94786,531,70643,6305,Boston,MA
02301,61025,23880,19256,139,1558,31,6140,3843,6178,17677,176,6894,4769,Brockton,MA
02302,32741,16353,8681,114,573,6,2189,1652,3173,14149,182,4332,4355,Brockton,MA
