ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,OtherRace,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
60401,7797,7070,154,3,19,2,5,76,468,5616,26,485,710,Beecher,IL
60402,63448,21027,3498,69,1462,8,83,567,36734,39093,742,31121,2846,Berwyn,IL
60403,17529,11177,2283,25,483,4,18,239,3300,9529,61,2200,3670,Crest Hill,IL
60404,17395,14212,839,23,281,9,17,209,1805,28003,311,6621,13073,Shorewood,IL
60406,25460,5410,7469,45,82,6,45,253,12150,6681,230,3527,2083,Blue Island,IL
60407,1684,1577,8,5,3,3,1,34,53,1594,6,0,0,Braceville,IL
60408,5696,5304,22,12,26,0,3,42,287,3833,34,342,0,Braidwood,IL
60409,37186,4934,26023,58,108,7,31,451,5574,7423,144,6306,420,Calumet City,IL
60410,12687,11263,165,7,86,1,9,117,1039,22733,183,2448,7586,Channahon,IL
60411,58136,14698,28264,82,214,17,93,922,13846,18738,203,14272,2500,Chicago Heights,IL
60415,14139,10836,967,19,247,5,20,299,1746,3633,40,1491,140,Chicago Ridge,IL
60416,9397,8767,41,18,29,2,4,88,448,2870,37,950,513,Coal City,IL
60417,15547,10475,3527,30,126,5,20,220,1144,50703,134,41412,4069,Crete,IL
60419,22788,1157,20648,14,66,3,24,261,615,2668,39,2005,50,Dolton,IL
60420,6102,5159,616,11,30,0,3,37,246,4052,48,995,422,Dwight,IL
60421,3968,3605,72,5,21,1,1,37,226,4638,17,170,2700,Elwood,IL
60422,9403,4280,4373,5,234,2,31,185,293,108095,309,73031,6733,Flossmoor,IL
60423,30423,26573,1261,31,645,3,20,251,1639,111166,439,54855,19765,Frankfort,IL
60424,2440,2252,17,3,4,0,0,40,124,2398,19,148,1000,Gardner,IL
60425,9117,2244,5976,11,27,8,20,145,686,5028,32,4651,251,Glenwood,IL
60426,29594,959,22806,43,206,10,15,310,5245,5636,19,2623,0,Harvey,IL
60428,12203,1288,9770,15,80,8,22,191,829,1322,38,1032,310,Markham,IL
60429,15630,1749,12749,33,99,1,20,245,734,14678,72,13024,-25,Hazel Crest,IL
60430,20094,11233,6894,20,277,1,59,411,1199,43451,363,27370,2020,Homewood,IL
60431,22577,15188,2493,48,551,2,19,316,3960,24861,284,7952,7761,Joliet,IL
60432,21403,4464,4419,36,44,1,21,183,12235,5527,34,4151,695,Joliet,IL
60433,17160,5652,5942,40,48,3,15,232,5228,14711,50,790,1781,Joliet,IL
60435,48899,28609,6643,53,1021,5,52,746,11770,45943,392,22268,11664,Joliet,IL
60436,18315,8105,4518,31,138,4,15,282,5222,14400,124,3251,1590,Joliet,IL
60437,187,185,0,0,0,0,0,0,2,0,0,0,0,Kinsman,IL
60438,28884,15125,8871,39,255,5,41,365,4183,26996,190,13210,3590,Lansing,IL
60439,22919,20905,119,17,436,7,14,192,1229,104086,269,33795,46954,Lemont,IL
60440,52911,21130,11235,75,4385,7,95,1102,14882,99346,629,26373,67459,Bolingbrook,IL
60441,36869,28761,3763,61,421,7,27,353,3476,13360,233,4782,3397,Lockport,IL
60442,9924,9076,89,16,67,2,3,86,585,21320,213,2497,12745,Manhattan,IL
60443,21145,4352,15213,18,203,8,45,366,940,48351,171,35831,7355,Matteson,IL
60444,1761,1652,9,4,2,0,1,7,86,4333,9,100,783,Mazon,IL
60445,26057,19028,2349,30,314,6,28,335,3967,15082,239,9441,4165,Midlothian,IL
60446,39807,20080,4546,61,2490,3,53,660,11914,20215,275,4979,9630,Romeoville,IL
60447,13709,11417,370,18,134,0,9,167,1594,21642,131,5363,13703,Minooka,IL
60448,24423,22238,279,32,441,6,9,212,1206,57523,260,15995,17405,Mokena,IL
60449,9217,7080,1000,3,155,2,7,132,838,4271,51,1760,1210,Monee,IL
60450,20332,18213,134,28,123,4,11,149,1670,27254,209,8232,11891,Morris,IL
60451,34063,31459,192,38,235,1,12,282,1844,52278,471,27863,13179,New Lenox,IL
60452,27969,21445,1253,29,1073,2,33,377,3757,30561,179,10851,16157,Oak Forest,IL
60453,56855,43796,2903,54,1214,14,78,659,8137,45568,477,22340,10732,Oak Lawn,IL
60455,16446,12576,450,11,489,2,23,319,2576,16789,47,6874,1000,Bridgeview,IL
60456,4349,3665,38,11,14,0,1,32,588,798,28,297,218,Hometown,IL
60457,14049,11241,449,10,359,0,21,192,1777,19207,121,2860,11699,Hickory Hills,IL
60458,14428,9075,3072,17,230,1,12,213,1808,1038,21,967,50,Justice,IL
60459,28929,19656,494,35,701,4,42,313,7684,6536,79,4329,800,Burbank,IL
60460,1522,1467,12,0,5,0,0,11,27,0,0,0,0,Odell,IL
60461,4836,1146,3361,6,116,0,8,72,127,45356,287,41635,250,Olympia Fields,IL
60462,38723,33245,572,13,1627,2,23,422,2819,92070,564,43742,21961,Orland Park,IL
60463,14671,13461,223,6,274,1,13,120,573,58842,288,7099,33532,Palos Heights,IL
60464,9620,8802,54,4,260,2,6,81,411,80143,226,25378,11325,Palos Park,IL
60465,17495,14597,927,14,450,4,14,195,1294,25887,144,11554,7845,Palos Hills,IL
60466,22115,6896,12989,38,157,12,41,584,1398,8727,193,6820,579,Park Forest,IL
60467,26046,22759,453,10,1353,3,24,269,1175,146579,371,40520,59472,Orland Park,IL
60468,6116,5639,46,4,23,0,1,53,350,9704,143,688,6612,Peotone,IL
60469,5930,1668,1014,14,20,6,5,64,3139,2495,3,2500,0,Posen,IL
60470,616,588,0,0,1,0,0,3,24,0,0,0,0,Ransom,IL
60471,14101,1599,11517,12,141,8,19,308,497,10416,38,9478,25,Richton Park,IL
60472,5390,122,5031,11,6,0,1,37,182,0,0,0,0,Robbins,IL
60473,22439,4125,16513,34,137,1,31,276,1322,22229,129,11766,5817,South Holland,IL
60474,760,736,2,0,0,0,0,1,21,40,1,0,0,South Wilmington,IL
60475,9870,6279,1863,8,113,0,7,185,1415,4109,4,600,0,Steger,IL
60476,2391,1885,222,2,21,1,1,54,205,655,4,0,0,Thornton,IL
60477,38161,32066,1705,44,1190,6,17,410,2723,42922,326,18693,12990,Tinley Park,IL
60478,16833,1537,14357,34,166,2,14,230,493,2463,52,2324,0,Country Club Hills,IL
60479,760,707,1,0,2,0,0,9,41,1152,9,50,1102,Verona,IL
60480,5246,4548,54,0,135,0,2,54,453,30409,132,15517,12868,Willow Springs,IL
60481,11851,11188,61,26,31,1,7,104,433,65587,137,5305,52785,Wilmington,IL
60482,11063,9195,266,15,199,1,19,128,1240,2594,32,1277,201,Worth,IL
60484,6829,370,6093,6,56,0,3,124,177,899,28,443,250,University Park,IL
60487,26928,22259,909,18,1375,3,23,288,2053,74741,161,9536,5310,Tinley Park,IL
60490,20463,9464,3500,19,3880,2,54,469,3075,39936,135,28704,5208,Bolingbrook,IL
60491,22743,20835,136,14,407,4,25,206,1116,60619,373,7653,23583,Homer Glen,IL
60501,11626,3082,1015,30,199,0,3,114,7183,1121,19,595,500,Summit Argo,IL
60502,21873,13966,1606,33,3672,3,21,464,2108,89872,384,15053,39420,Aurora,IL
60503,16717,10238,1478,14,2512,2,21,373,2079,9081,80,2781,1238,Aurora,IL
60504,37919,20571,4751,54,4512,5,122,929,6975,33047,364,15997,9811,Aurora,IL
60505,76573,12944,6155,88,374,11,69,559,56373,82086,304,21511,44296,Aurora,IL
60506,53013,24043,6677,68,1334,35,71,802,19983,45165,474,21455,13000,Aurora,IL
60510,28897,25255,692,36,567,7,19,314,2007,102072,355,14642,45725,Batavia,IL
60511,1793,1697,6,5,3,0,3,21,58,4318,24,2700,1368,Big Rock,IL
60512,1111,981,7,0,9,1,2,9,102,4038,33,1785,1905,Bristol,IL
60513,19047,14952,456,11,285,0,11,258,3074,16194,278,11955,1026,Brookfield,IL
60514,9708,8262,198,3,527,1,19,143,555,101488,264,18892,31086,Clarendon Hills,IL
60515,27503,24238,495,15,1130,1,22,332,1270,150292,890,64155,42352,Downers Grove,IL
60516,29084,23994,1053,32,1858,6,44,430,1667,64714,569,22714,22553,Downers Grove,IL
60517,32038,20417,2822,37,3781,2,50,545,4384,58814,299,17814,15733,Woodridge,IL
60518,3580,3326,7,5,9,2,1,34,196,1659,14,60,625,Earlville,IL
60519,88,79,0,0,0,0,0,0,9,0,0,0,0,Eola,IL
60520,2886,2679,11,4,8,4,7,25,148,2879,22,250,1740,Hinckley,IL
60521,17597,15300,227,6,1136,5,13,259,651,1130923,1209,322630,440834,Hinsdale,IL
60523,9890,7018,203,1,2049,2,4,183,430,662628,916,128376,268067,Oak Brook,IL
60525,31168,25798,1091,20,474,2,28,324,3431,260904,864,130428,51355,La Grange,IL
60526,13576,11686,522,12,256,1,14,168,917,44683,208,22338,8710,La Grange Park,IL
60527,27486,19834,2336,15,3193,2,41,442,1623,417787,902,209531,131291,Willowbrook,IL
60530,649,614,3,0,4,0,0,4,24,1133,8,0,650,Lee,IL
60531,1902,1783,5,3,1,1,0,19,90,918,4,250,300,Leland,IL
60532,27066,20509,1380,14,2761,5,35,466,1896,185426,639,64617,23125,Lisle,IL
60534,10649,5814,419,16,143,1,25,123,4108,2185,31,1211,343,Lyons,IL
60536,126,120,0,0,0,0,0,5,1,0,0,0,0,Millbrook,IL
60537,665,644,1,4,2,0,1,4,9,270,2,270,0,Millington,IL
60538,26619,16952,1822,21,637,6,16,443,6722,10092,172,5173,1908,Montgomery,IL
60539,341,202,69,2,5,0,0,11,52,272,9,272,0,Mooseheart,IL
60540,42910,33741,1483,33,4734,15,47,709,2148,336799,1328,142078,112813,Naperville,IL
60541,3148,2979,9,2,13,0,3,21,121,2045,25,225,210,Newark,IL
60542,17099,12564,854,16,816,4,12,295,2538,41847,251,19608,6370,North Aurora,IL
60543,36156,28216,1694,29,1104,9,45,550,4509,26492,422,11089,7792,Oswego,IL
60544,25959,19016,1621,25,1205,4,30,352,3706,36402,257,7971,18664,Plainfield,IL
60545,12940,8220,766,24,196,9,6,142,3577,10727,73,1477,8500,Plano,IL
60546,15668,12101,522,9,323,1,24,143,2545,53919,346,22334,20074,Riverside,IL
