ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,Other Race,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
20001,38551,11496,19563,98,2720,11,116,992,3555,17623342,25996,1601883,1045108,Washington,DC
20002,52370,15763,32121,130,876,30,90,1061,2299,2137121,5463,1152964,730407,Washington,DC
20003,26454,14002,9633,95,728,6,68,567,1355,3946227,5022,1094660,1062222,Washington,DC
20004,1622,1190,109,4,152,4,1,53,109,3511983,4856,849108,858383,Washington,DC
20005,12775,7276,1938,20,1037,6,41,315,2142,7966098,7245,952295,1146469,Washington,DC
20006,3227,2283,184,3,392,2,6,114,243,17508782,2358,415141,566344,Washington,DC
20007,26866,21862,839,30,1590,9,82,541,1913,4915354,6534,2938599,1047904,Washington,DC
20008,27525,21132,1405,44,2074,8,90,660,2112,5542404,6641,3498251,900428,Washington,DC
20009,47992,27006,9931,98,2432,24,140,1099,7262,2579455,6813,1806931,420373,Washington,DC
20010,30138,9836,9363,73,1081,11,96,602,9076,514629,2445,410091,54946,Washington,DC
20011,58536,5726,38232,128,752,23,189,1088,12398,476688,2622,363509,63954,Washington,DC
20012,13414,2557,8624,29,246,11,46,396,1505,413112,1086,254318,26259,Washington,DC
20015,15332,11806,1380,13,693,4,57,380,999,1865659,3780,1318479,340683,Washington,DC
20016,32519,25699,1383,42,1976,15,115,915,2374,4257758,7096,2722571,1028360,Washington,DC
20017,17735,3116,12666,32,309,1,44,416,1151,119382,660,79122,23818,Washington,DC
20018,16894,941,14373,60,162,1,35,331,991,143577,564,87679,29540,Washington,DC
20019,54358,404,51630,124,80,10,57,741,1312,43293,230,26241,15795,Washington,DC
20020,49864,835,47370,109,127,1,48,669,705,58454,305,47658,4200,Washington,DC
20024,11510,3687,6272,66,522,4,34,331,594,427505,1543,202727,53056,Washington,DC
20032,35653,1858,32102,75,162,20,40,565,831,11345,139,7644,350,Washington,DC
20036,5435,3897,423,4,537,2,13,145,414,5718425,3419,911478,696966,Washington,DC
20037,14642,10844,926,20,1554,0,32,421,845,1757400,2188,820713,264591,Washington,DC
20045,0,0,0,0,0,0,0,0,0,250,1,0,0,Washington,DC
20052,470,400,17,0,37,0,0,15,1,15725,26,9264,1711,Washington,DC
20053,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,DC
20057,3888,2716,247,4,479,5,7,156,274,454,13,554,0,Washington,DC
20064,1890,1590,39,3,69,1,3,45,140,0,0,0,0,Washington,DC
20105,11315,6160,1054,26,2730,8,23,458,856,43553,194,15294,16489,Aldie,VA
20106,5142,4714,144,15,41,0,3,68,157,35822,106,14313,21166,Amissville,VA
20109,37265,13309,6406,104,2649,19,151,1158,13469,51167,260,18055,22985,Manassas,VA
20110,43876,21465,5830,121,2159,53,139,1044,13065,56020,489,20077,15268,Manassas,VA
20111,30590,15079,2982,65,2399,23,79,892,9071,44893,363,16165,16673,Manassas,VA
