ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,OtherRace,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
48001,11986,11563,23,67,32,3,0,152,146,35760,93,29080,5191,Algonac,MI
48002,3285,3129,18,9,13,0,0,21,95,1636,16,0,263,Allenton,MI
48003,6070,5710,10,13,12,0,6,41,278,3799,26,579,3220,Almont,MI
48005,5379,5204,18,12,18,1,0,29,97,3795,26,565,2185,Armada,MI
48006,4007,3858,10,20,7,0,0,50,62,5762,26,535,5127,Avoca,MI
48009,20107,18247,601,26,500,1,28,285,419,1224157,1868,331112,493348,Birmingham,MI
48014,4256,3701,8,13,15,0,6,45,468,2102,33,801,50,Capac,MI
48015,8257,6710,983,27,200,3,2,192,140,32187,138,31239,500,Center Line,MI
48017,11805,10858,217,24,238,3,14,199,252,29902,236,8782,20577,Clawson,MI
48021,32353,20831,9492,113,342,4,62,836,673,27122,250,21092,4702,Eastpointe,MI
48022,2654,2527,11,6,12,2,1,22,73,1360,18,1215,25,Emmett,MI
48023,5178,4885,52,11,20,1,0,88,121,6531,18,1636,2325,Fair Haven,MI
48025,14543,12663,973,22,406,5,29,221,224,656029,973,299024,234102,Franklin,MI
48026,14480,13099,562,61,210,1,10,240,297,45674,203,35513,6939,Fraser,MI
48027,3249,3095,76,6,3,0,0,26,43,7512,24,4289,2973,Goodells,MI
48028,1190,1177,1,3,1,0,0,5,3,3020,23,1000,820,Harsens Island,MI
48030,16422,13312,1586,132,239,2,12,693,446,40976,166,39656,1201,Hazel Park,MI
48032,2322,2234,6,5,8,0,7,34,28,922,4,435,0,Jeddo,MI
48033,16064,4073,11197,43,156,6,36,338,215,56268,282,25659,11153,Southfield,MI
48034,12590,2544,9265,42,297,1,30,228,183,158658,376,48069,88785,Southfield,MI
48035,34788,26055,6238,93,689,14,32,823,844,51064,247,46945,2483,Clinton Township,MI
48036,20980,16692,3015,69,275,9,17,441,462,45109,257,22771,11688,Clinton Township,MI
48038,41057,35341,3256,71,759,6,33,607,984,70573,342,48454,12856,Clinton Township,MI
48039,7807,7520,23,35,23,1,3,87,115,10053,49,215,9775,Marine City,MI
48040,9956,9592,34,21,62,2,0,68,177,14255,58,715,13481,Marysville,MI
48041,4561,4354,20,13,14,0,5,54,101,595,4,0,600,Memphis,MI
48042,27291,25254,607,38,588,4,34,290,476,35687,276,15815,13703,Macomb,MI
48043,16305,11141,3993,44,79,5,33,533,477,16238,145,7552,4215,Mount Clemens,MI
48044,52289,45652,2489,98,1858,11,38,816,1327,54052,360,22489,9289,Macomb,MI
48045,24604,21494,1811,76,164,5,25,400,629,44500,319,18573,15113,Harrison Township,MI
48047,39415,36027,1516,143,365,10,25,559,770,39508,307,14009,21354,New Baltimore,MI
48048,7548,6044,879,34,37,3,6,230,315,8333,27,853,7080,New Haven,MI
48049,5582,5346,32,19,8,0,5,48,124,6638,43,275,2785,North Street,MI
48050,1653,1585,10,10,5,0,0,21,22,669,7,319,350,New Haven,MI
48051,17319,14580,1675,57,155,7,25,270,550,18812,119,5081,4740,New Baltimore,MI
48054,7339,7149,16,22,23,1,11,46,71,15353,71,2764,11459,East China,MI
48059,15123,14088,191,33,159,7,9,229,407,65381,253,11764,31897,Fort Gratiot,MI
48060,40831,33870,3122,233,205,8,30,1326,2037,38641,298,8645,21700,Port Huron,MI
48062,9373,8783,90,30,15,15,7,103,330,6053,43,732,4532,Richmond,MI
48063,4070,3899,15,24,17,1,5,45,64,1087,7,250,257,Columbus,MI
48064,4107,3887,24,20,22,1,2,64,87,5868,52,4006,1200,Casco,MI
48065,10547,9680,179,23,51,0,6,149,459,21777,154,4630,14536,Romeo,MI
48066,47388,38753,5562,178,759,5,48,1128,955,111313,423,90654,5465,Roseville,MI
48067,24458,22132,712,48,530,9,27,405,595,212567,961,92073,101093,Royal Oak,MI
48069,2526,2359,48,3,27,0,2,43,44,35047,189,22286,4800,Pleasant Ridge,MI
48070,6238,5918,60,9,76,0,17,59,99,157871,697,91211,33792,Huntington Woods,MI
48071,29694,24444,1870,132,1711,19,25,737,756,160270,601,104079,3357,Madison Heights,MI
48072,14970,13757,439,39,190,8,12,250,275,35231,454,27180,3578,Berkley,MI
48073,32798,28855,1690,79,812,13,38,564,747,87338,1025,52890,16313,Royal Oak,MI
48074,9356,8840,112,37,21,0,4,140,202,8275,35,541,4094,Smiths Creek,MI
48075,21790,4065,16679,30,292,4,29,430,261,124441,329,57771,53514,Southfield,MI
48076,25386,8243,15521,24,497,5,72,665,359,133256,414,26146,69869,Southfield,MI
48079,12304,11854,29,37,98,0,4,109,173,36880,158,3484,31145,Saint Clair,MI
48080,22494,19607,1689,74,324,3,15,384,398,41157,346,21044,9289,Saint Clair Shores,MI
48081,20635,19382,364,56,169,3,23,293,345,45362,231,25225,15095,Saint Clair Shores,MI
48082,16549,15556,280,36,118,1,8,255,295,16591,206,4746,4480,Saint Clair Shores,MI
48083,22507,16040,1171,47,4064,1,44,488,652,250223,319,28461,10256,Troy,MI
48084,14231,9336,601,30,3653,0,27,258,326,191927,608,34939,106998,Troy,MI
48085,24660,19034,870,31,3823,0,36,422,444,61039,399,22123,22183,Troy,MI
48088,22255,19537,1435,67,592,1,11,244,368,73669,349,69701,1325,Warren,MI
48089,31978,22637,6391,186,941,2,22,991,808,349106,234,46466,1838,Warren,MI
48091,31106,21940,5162,124,2139,2,46,934,759,117372,533,106980,6807,Warren,MI
48092,25680,20248,2491,73,1778,9,37,591,453,135414,633,90175,15288,Warren,MI
48093,23037,18946,2499,74,720,4,24,400,370,58577,358,47502,3698,Warren,MI
48094,18028,16453,293,28,197,5,1,202,849,65376,232,13510,27270,Washington,MI
48095,4906,4709,35,3,48,5,0,39,67,14565,32,5350,6975,Washington,MI
48096,3739,3605,15,10,26,0,1,19,63,5269,54,2034,3025,Ray,MI
48097,5499,5202,40,18,2,0,8,82,147,4533,17,1393,500,Yale,MI
48098,19582,14459,568,16,3899,0,18,334,288,171229,643,64912,59814,Troy,MI
48101,28200,24634,588,120,222,7,26,329,2274,26815,259,14557,2367,Allen Park,MI
48103,53057,41065,3405,103,4444,20,139,1630,2251,571752,3700,327386,89001,Ann Arbor,MI
48104,38315,29203,1545,70,4681,8,109,1045,1654,511489,2783,311358,104196,Ann Arbor,MI
48105,33905,21027,2300,66,8334,9,101,971,1097,481347,2465,329686,56985,Ann Arbor,MI
48108,26164,16090,4126,93,3379,10,56,1023,1387,108510,898,60221,14028,Ann Arbor,MI
48109,6904,5031,388,13,968,6,12,237,249,16701,48,1577,0,Ann Arbor,MI
48111,42313,29118,9851,191,771,13,60,1110,1199,34117,403,10550,8575,Belleville,MI
