ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,OtherRace,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
90001,57110,356,5857,39,86,14,85,129,50544,5177,31,3772,0,Los Angeles,CA
90002,51223,330,12723,62,102,21,84,303,37598,12687,17,1805,10400,Los Angeles,CA
90003,66266,462,15672,80,105,18,171,372,49386,2589,78,1064,900,Los Angeles,CA
90004,62180,10466,1962,94,16540,39,216,876,31987,702242,1765,554446,111890,Los Angeles,CA
90005,37681,3039,1788,35,12661,9,81,490,19578,161513,449,127255,10094,Los Angeles,CA
90006,59185,1861,1862,77,10822,32,146,311,44074,14439,270,13568,250,Los Angeles,CA
90007,40920,7053,4306,39,6243,34,207,871,22167,36315,169,13126,12994,Los Angeles,CA
90008,32327,731,22152,63,820,24,173,803,7561,112238,444,88547,16550,Los Angeles,CA
90010,3800,723,160,3,2503,1,4,63,343,184241,221,145647,25295,Los Angeles,CA
90011,103892,720,9189,53,499,8,224,320,92879,11494,90,6469,5000,Los Angeles,CA
90012,31103,4342,4085,46,13637,48,57,462,8426,184950,657,159809,13855,Los Angeles,CA
90013,11772,3301,3731,103,1814,14,34,366,2409,126416,670,56604,11060,Los Angeles,CA
90014,7005,2158,2005,60,1135,10,18,240,1379,97402,380,80332,13148,Los Angeles,CA
90015,18986,1944,1240,22,2638,9,60,198,12875,317294,349,249022,27945,Los Angeles,CA
90016,47596,2127,17291,103,1434,34,247,898,25462,83718,426,77283,4050,Los Angeles,CA
90017,23768,2335,1296,58,3198,23,67,265,16526,517455,986,192910,86470,Los Angeles,CA
90018,49310,1833,15111,98,1777,41,328,810,29312,44558,297,38295,450,Los Angeles,CA
90019,64458,8068,14712,113,10047,37,351,1429,29701,250806,1842,204422,13724,Los Angeles,CA
90020,38967,4030,2140,42,18407,22,132,556,13638,557010,743,325247,210630,Los Angeles,CA
90021,3951,858,1200,29,156,3,11,63,1631,83234,236,39759,43150,Los Angeles,CA
90022,67179,1163,140,99,449,12,78,86,65152,23927,220,12115,10113,Los Angeles,CA
90023,45903,508,119,49,236,16,62,59,44854,41446,66,17358,9830,Los Angeles,CA
90024,47452,27197,969,36,12520,48,117,2251,4314,3393440,3125,1566378,530290,Los Angeles,CA
90025,42147,24328,1129,41,8288,38,152,1817,6354,2492876,3254,805406,849249,Los Angeles,CA
90026,67869,14329,1752,140,11551,40,196,1160,38701,229030,2779,207017,8987,Los Angeles,CA
90027,45151,26767,1320,86,5917,32,118,1344,9567,501745,3490,419424,45165,Los Angeles,CA
90028,28714,13991,2168,96,2324,43,100,763,9229,192920,1297,152228,18510,Los Angeles,CA
90029,38617,7898,1075,57,6203,21,116,587,22660,52007,860,45926,3320,Los Angeles,CA
90031,39316,1985,399,68,9882,15,63,261,26643,52788,608,45893,0,Los Angeles,CA
90032,45786,2129,843,106,4996,12,61,267,37372,35704,496,27018,6040,Los Angeles,CA
90033,48852,1064,690,71,2058,9,119,138,44703,24105,150,10977,825,Los Angeles,CA
90034,57964,21322,5836,116,10958,137,351,2016,17228,298128,2001,156739,98476,Los Angeles,CA
90035,28418,20373,2474,48,1768,17,179,1131,2428,383464,1653,177129,175510,Los Angeles,CA
90036,36865,23054,2061,45,7467,31,131,1085,2991,1148237,2548,565182,415860,Los Angeles,CA
90037,62276,698,13315,112,471,22,280,424,46954,11361,53,11372,0,Los Angeles,CA
90038,28917,7858,1089,24,2289,27,140,434,17056,104407,630,85604,9287,Los Angeles,CA
90039,28514,10264,573,36,5161,36,60,710,11674,222518,2002,187562,19306,Los Angeles,CA
90040,12520,409,60,48,134,7,26,27,11809,63128,130,50723,10030,Los Angeles,CA
90041,27425,8454,552,84,7631,27,60,748,9869,170317,960,138175,25860,Los Angeles,CA
90042,62430,8765,1289,174,7466,40,145,854,43697,133551,1704,116990,11638,Los Angeles,CA
90043,44789,1002,28877,71,359,33,274,1124,13049,94391,659,70614,12170,Los Angeles,CA
90044,89779,895,32766,133,282,67,456,829,54351,7804,177,6621,712,Los Angeles,CA
90045,39480,20086,5420,56,4657,130,157,1771,7203,349054,1740,197053,52982,Los Angeles,CA
90046,48581,37931,1625,83,2592,38,152,1373,4787,1075056,4509,952561,63361,Los Angeles,CA
90047,48606,446,31446,73,235,45,233,735,15393,18814,109,13936,665,Los Angeles,CA
90048,21397,16898,625,20,1552,14,54,655,1579,797698,1777,551044,138155,Los Angeles,CA
90049,35482,28631,497,32,3048,23,88,1229,1934,3801126,4609,2138015,1088359,Los Angeles,CA
90056,7827,896,5828,14,253,2,30,349,455,91725,399,85396,5600,Los Angeles,CA
90057,44998,2410,1880,69,8915,72,122,383,31147,23356,191,13778,4350,Los Angeles,CA
90058,3223,148,273,9,139,0,14,22,2618,26067,44,14750,7300,Los Angeles,CA
90059,40952,358,13725,85,88,55,80,319,26242,902,15,865,0,Los Angeles,CA
90061,26872,260,9767,47,82,22,65,250,16379,2594,63,1836,250,Los Angeles,CA
90062,32821,370,12024,58,368,13,226,389,19373,4697,74,4334,172,Los Angeles,CA
90063,55758,761,190,79,591,2,81,79,53975,7837,224,6669,0,Los Angeles,CA
90064,25403,15592,630,24,4229,23,111,969,3825,1248702,2855,948425,138115,Los Angeles,CA
90065,45527,7886,773,61,6852,30,101,723,29101,197996,1899,187101,4209,Los Angeles,CA
90066,55277,26331,1979,103,7885,124,246,1841,16768,366373,3075,272696,60997,Los Angeles,CA
90067,2424,2006,23,2,251,2,0,52,88,2458782,2016,1370166,519870,Los Angeles,CA
90068,22286,16784,967,46,1467,11,89,723,2199,634521,2484,567857,25300,Los Angeles,CA
90069,20483,16314,583,21,1091,22,66,555,1831,2034574,3777,1430131,340620,West Hollywood,CA
90071,15,4,5,0,1,0,0,0,5,4233293,1088,118880,243494,Los Angeles,CA
90073,539,231,236,2,10,2,0,3,55,250,1,0,0,Los Angeles,CA
90077,9377,7618,138,5,769,2,31,356,458,1625072,1346,607982,663748,Los Angeles,CA
90079,0,0,0,0,0,0,0,0,0,2700,1,2700,0,Los Angeles,CA
90089,3217,1425,135,1,1110,2,5,184,355,5738,10,5738,0,Los Angeles,CA
90090,0,0,0,0,0,0,0,0,0,0,0,0,0,Dodgertown,CA
90094,5464,2806,602,7,1204,11,12,273,549,60906,352,47833,8297,Playa Vista,CA
90095,3,1,0,0,2,0,0,0,0,18556,52,8225,2500,Los Angeles,CA
90201,101279,3357,608,207,565,38,166,255,96083,34616,159,16168,6900,Bell Gardens,CA
90210,21741,18094,367,7,1245,7,57,872,1092,4438597,3449,2608070,1504863,Beverly Hills,CA
90211,8434,6214,197,6,1022,1,29,424,541,623421,761,473341,128467,Beverly Hills,CA
90212,11555,8881,299,20,1151,4,26,493,681,1940670,1803,920293,435871,Beverly Hills,CA
90220,49328,1052,19198,95,246,416,85,516,27720,27766,123,19546,6028,Compton,CA
90221,53704,526,11719,87,96,377,89,348,40462,36504,80,8828,0,Compton,CA
90222,31869,228,9526,31,63,54,29,197,21741,14370,105,13790,550,Compton,CA
90230,31766,12197,3189,62,4587,82,176,1148,10325,189667,1802,150653,20010,Culver City,CA
90232,15149,7261,946,22,2263,36,84,605,3932,222728,1370,113199,14939,Culver City,CA
90240,25876,5099,559,44,2166,38,26,242,17702,33463,210,17673,14346,Downey,CA
90241,42399,8198,1159,86,2711,67,67,395,29716,55328,373,27633,23335,Downey,CA
90242,43497,6489,2116,82,2607,65,126,434,31578,23101,299,12743,9609,Downey,CA
90245,16654,11515,321,40,1427,30,56,656,2609,283591,1896,62834,41427,El Segundo,CA
90247,47487,3040,8698,64,11755,325,104,948,22553,32741,171,18649,12506,Gardena,CA
90248,9947,1127,1449,28,3051,67,30,246,3949,53834,119,9362,31690,Gardena,CA
90249,26669,3537,7930,44,4318,101,83,608,10048,59119,135,52878,2408,Gardena,CA
90250,93193,11205,22850,192,6382,1060,433,1766,49305,81928,711,30117,17968,Hawthorne,CA
90254,19506,15780,216,28,1097,43,52,658,1632,538710,982,311096,101936,Hermosa Beach,CA
90255,75066,1211,238,45,395,17,110,88,72962,21065,268,18560,0,Huntington Park,CA
90260,34924,6496,2940,100,3780,331,144,768,20365,19756,332,9077,6353,Lawndale,CA
90262,69745,1539,6725,76,388,173,167,226,60451,4939,78,4239,97,Lynwood,CA
90263,1612,1005,93,2,210,4,1,83,214,0,0,0,0,Malibu,CA
90265,18116,15337,301,27,627,19,28,478,1299,1077204,1853,377435,505668,Malibu,CA
90266,35135,27873,282,44,2992,44,84,1376,2440,1578104,2264,640913,603011,Manhattan Beach,CA
90270,27372,498,46,24,61,14,28,25,26676,1096,12,445,650,Maywood,CA
90272,22986,19881,165,20,1215,9,61,596,1039,2306938,3633,1372897,604851,Pacific Palisades,CA
90274,25209,17523,335,26,4983,20,47,842,1433,1021587,2025,404188,509674,Palos Verdes Peninsula,CA
90275,41804,23424,988,54,12047,39,92,1598,3562,599480,1624,328527,206870,Rancho Palos Verdes,CA
90277,35293,25424,696,79,3491,57,157,1271,4118,225478,1391,122048,79562,Redondo Beach,CA
90278,40071,24305,1220,101,5326,130,159,1826,7004,224319,1163,82012,66576,Redondo Beach,CA
90280,94396,3233,585,110,647,69,147,163,89442,43697,199,21893,19715,South Gate,CA
90290,6368,5455,80,20,196,1,23,181,412,94073,1198,77814,8498,Topanga,CA
90291,28341,18885,1415,93,1214,45,115,906,5668,529376,2681,464907,39671,Venice,CA
90292,21576,15917,1028,28,1969,30,70,765,1769,357509,1714,259582,62507,Marina del Rey,CA
90293,12132,8396,675,23,1196,19,40,499,1284,95147,648,54920,23148,Playa del Rey,CA
90301,36568,1177,11510,76,686,44,92,430,22553,22332,194,19945,1800,Inglewood,CA
90302,29415,1266,14297,67,345,65,105,655,12615,21493,352,16028,3765,Inglewood,CA
90303,26176,351,8891,41,150,171,78,298,16196,4153,35,4153,0,Inglewood,CA
90304,28210,830,1116,37,314,236,53,124,25500,4560,58,2208,2085,Inglewood,CA
90305,14853,295,12247,32,108,25,61,360,1725,24786,326,16571,7265,Inglewood,CA
90401,6722,4681,362,19,696,6,30,255,673,561813,742,266458,168316,Santa Monica,CA
90402,12250,10348,118,9,841,14,27,345,548,2452432,2429,2098997,181231,Santa Monica,CA
90403,24525,19214,440,28,2044,20,96,893,1790,629985,2280,438513,134469,Santa Monica,CA
90404,21360,11216,1608,48,2265,39,69,781,5334,326431,1523,205732,49146,Santa Monica,CA
90405,27186,19482,852,72,2223,39,96,954,3468,984745,3479,688876,133392,Santa Monica,CA
90501,43180,11107,2165,92,10075,281,130,1155,18175,274509,1864,47434,127594,Torrance,CA
90502,18010,3547,1227,69,5922,244,81,479,6441,25714,215,12531,5635,Torrance,CA
90503,44383,18291,1072,88,17857,95,196,1662,5122,65926,623,35261,13784,Torrance,CA
90504,32102,9946,1173,71,12085,160,121,1471,7075,55547,528,34740,11530,Torrance,CA
90505,36678,18179,760,67,11957,101,92,1429,4093,195286,939,87680,86784,Torrance,CA
90506,0,0,0,0,0,0,0,0,0,0,0,0,0,Torrance,CA
90601,31974,6948,308,86,1611,30,60,344,22587,41585,460,31023,8348,Whittier,CA
90602,25777,5109,298,80,727,22,41,226,19274,32971,213,14991,9900,Whittier,CA
90603,20063,8616,131,32,937,12,18,226,10091,30209,279,12524,12332,Whittier,CA
90604,39407,10734,553,116,1886,42,53,481,25542,18836,269,6742,8826,Whittier,CA
90605,40331,7046,319,74,1295,69,42,330,31156,38475,367,24455,9447,Whittier,CA
90606,32396,3133,230,98,492,35,70,179,28159,7691,60,4223,2545,Whittier,CA
90620,45113,15876,1302,133,11268,257,92,1270,14915,70665,284,26183,10986,Buena Park,CA
90621,35153,6349,1470,54,9916,126,47,565,16626,46898,241,28640,16053,Buena Park,CA
90623,15554,4308,767,26,7438,41,43,438,2493,99986,251,62268,34033,La Palma,CA
90630,47993,21031,1389,144,14935,206,87,1512,8689,86244,787,45973,25619,Cypress,CA
90631,67619,22352,901,155,6434,86,96,1119,36476,116370,799,68430,27463,La Habra,CA
90638,49012,18602,1016,138,8614,114,103,954,19471,54216,319,24095,21233,La Mirada,CA
90640,62549,5331,380,98,6638,37,65,371,49629,112352,578,58598,36650,Montebello,CA
90650,105549,13007,4135,281,12387,366,191,1141,74041,33022,308,18876,11650,Norwalk,CA
90660,62928,3272,365,114,1464,15,50,253,57395,20189,232,12629,5531,Pico Rivera,CA
90670,14866,1851,283,60,588,20,21,114,11929,77039,140,22163,27602,Santa Fe Springs,CA
90680,29945,6725,595,69,6803,124,51,519,15059,52752,132,10653,41162,Stanton,CA
90701,16591,3534,546,36,6134,37,76,314,5914,60753,160,6438,40424,Artesia,CA
90703,49399,8149,3320,51,30193,113,83,1323,6167,114614,498,79928,21829,Cerritos,CA
90704,4090,1808,12,7,53,10,4,46,2150,3194,48,1627,1000,Avalon,CA
90706,76615,14971,10374,229,8720,567,162,1508,40084,22008,196,10489,9440,Bellflower,CA
90710,25457,5319,3237,42,4544,212,44,637,11422,29672,222,13772,4735,Harbor City,CA
90712,31499,13188,3288,99,4630,301,80,1125,8788,29022,459,18724,7145,Lakewood,CA
90713,27925,15550,1221,71,2797,182,59,947,7098,33663,460,17350,11500,Lakewood,CA
90715,20388,3981,2066,62,5347,201,39,519,8173,9562,111,7989,1530,Lakewood,CA
90716,14184,986,478,46,1489,49,14,118,11004,9761,169,7163,2600,Hawaiian Gardens,CA
90717,21318,9188,1003,81,3001,133,60,775,7077,15639,223,8235,5690,Lomita,CA
90720,21751,14522,376,51,2229,68,47,719,3739,99133,502,47259,42432,Los Alamitos,CA
90723,54099,3015,5980,86,1531,396,61,482,42548,13209,142,3409,9200,Paramount,CA
90731,59662,19325,3986,220,2482,254,153,1510,31732,119307,1167,77456,24355,San Pedro,CA
90732,21115,12142,886,59,1649,31,55,691,5602,61219,619,43275,13725,San Pedro,CA
90740,23729,18192,259,38,2270,49,60,575,2286,172700,1456,88525,61792,Seal Beach,CA
90742,831,693,4,6,31,2,4,21,70,10475,32,2580,5795,Sunset Beach,CA
90743,456,381,0,0,17,3,2,8,45,10470,18,2715,7750,Surfside,CA
90744,53815,2532,1473,103,1088,366,85,376,47792,41647,174,16067,5350,Wilmington,CA
90745,57251,4804,4262,108,20057,1729,107,1340,24844,47107,139,16578,26060,Carson,CA
90746,25990,1407,16577,33,1939,350,107,630,4947,36094,269,29606,4177,Carson,CA
90747,0,0,0,0,0,0,0,0,0,0,0,0,0,Carson,CA
90755,11074,3356,1427,28,2249,113,37,393,3471,74476,304,31601,23923,Signal Hill,CA
90802,39347,13522,6380,175,2972,219,132,1309,14638,312539,1256,224602,52836,Long Beach,CA
90803,32031,23744,895,92,1810,54,76,869,4491,369276,1866,166059,148058,Long Beach,CA
