ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,Other Race,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
00083,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,NY
10001,21102,11704,1602,33,3519,5,95,496,3648,1236301,2945,637959,141045,New York,NY
10002,81410,16330,5257,108,37739,14,143,1200,20619,340690,2356,240347,37495,New York,NY
10003,56024,40056,1738,63,8020,16,205,1437,4489,2589382,5411,1817293,304676,New York,NY
10004,3089,2034,86,4,653,0,15,108,189,1347500,2178,265234,347215,New York,NY
10005,7135,4663,229,6,1472,2,37,196,530,507385,780,262909,107204,New York,NY
10006,3011,1947,135,3,590,0,5,83,248,331385,710,253078,30950,New York,NY
10007,6988,4715,413,2,870,6,35,236,711,944525,1041,398971,93551,New York,NY
10009,61347,30587,4775,101,8277,21,219,1390,15977,471150,3292,363884,96369,New York,NY
10010,31834,21665,1678,34,4553,12,115,762,3015,1743462,3713,920076,225897,New York,NY
10011,50984,37300,1976,52,4475,21,180,1129,5851,3189909,8033,2621931,277139,New York,NY
10012,24090,16995,518,18,3956,7,94,581,1921,1427777,3213,1080583,175071,New York,NY
10013,27700,14492,985,20,9982,4,107,625,1485,2738223,3858,1661668,406290,New York,NY
10014,31959,26580,604,27,1861,10,98,749,2030,1956098,4568,1630085,174459,New York,NY
10016,54183,37601,1981,47,8953,18,177,1012,4394,1722038,3450,970895,304370,New York,NY
10017,16575,11685,491,8,2909,5,66,333,1078,4788256,7215,1302974,1038595,New York,NY
10018,5229,2480,334,9,1338,0,14,109,945,699916,1039,402078,76999,New York,NY
10019,42870,25884,1987,51,7106,23,166,938,6715,10464295,5986,2440679,1535050,New York,NY
10020,0,0,0,0,0,0,0,0,0,1140942,957,89525,162151,New York,NY
10021,43631,36603,724,24,3166,11,113,645,2345,6979851,5504,3001855,2166975,New York,NY
10022,31924,26222,549,18,2849,16,101,440,1729,1127866,600,100960,92630,New York,NY
10023,60998,46579,2524,64,5431,15,152,1126,5107,6116286,10019,4063237,1319307,New York,NY
10024,59283,45701,2667,49,3226,15,215,1081,6329,5683623,9753,4142364,810150,New York,NY
10025,94600,52030,11157,125,7708,31,318,2221,21010,2205063,9747,1825765,162546,New York,NY
10026,34003,5342,18447,89,1427,25,130,889,7654,225339,1431,211770,4560,New York,NY
10027,59707,13871,23904,171,4469,18,212,1487,15575,327258,2291,285594,27677,New York,NY
10028,45141,37803,699,23,3305,17,110,759,2425,4955438,5392,2645867,1151446,New York,NY
10029,76003,10119,19344,137,5097,57,298,1092,39859,440929,1423,268019,63457,New York,NY
