"ZCTA","Total","White","Black","AmInd or Alaskan Native","Asian","PacIslander or HI Native","Other Race","Mixed","Hispanic","Total Contribs","Number Contribs","To Dems","To Repubs","Name","State"
"00601","18570","80","2","1","1","0","0","0","18486","0","0","0","0","Adjuntas","PR"
"00602","41520","216","13","0","15","0","4","7","41265","7450","19","1200","5000","Aguada","PR"
"00603","54689","628","101","2","48","2","9","22","53877","7960","32","4190","500","Aguadilla","PR"
"00606","6615","32","3","0","3","1","0","1","6575","490","7","-10","500","Maricao","PR"
"00610","29016","187","22","0","8","0","5","5","28789","1977","8","877","500","Anasco","PR"
"00612","67010","439","45","5","47","1","14","24","66435","10300","71","2794","450","Arecibo","PR"
"00616","11017","36","11","1","1","0","2","1","10965","0","0","0","0","Bajadero","PR"
"00617","24597","110","17","0","15","0","3","2","24450","250","1","0","0","Barceloneta","PR"
"00622","7853","129","8","0","1","2","0","5","7708","75","2","75","0","Boqueron","PR"
"00623","43061","326","28","1","16","2","8","15","42665","750","5","250","0","Cabo Rojo","PR"
"00624","26241","137","14","0","10","0","0","4","26076","10","1","10","0","Penuelas","PR"
"00627","35159","176","9","10","8","1","3","2","34950","1854","4","0","0","Camuy","PR"
"00631","1852","6","0","0","0","4","0","0","1842","0","0","0","0","Castaner","PR"
"00637","25287","107","8","2","4","0","2","4","25160","525","2","0","525","Sabana Grande","PR"
"00638","18941","45","5","1","0","0","6","8","18876","0","0","0","0","Ciales","PR"
"00641","31191","143","4","3","13","0","1","5","31022","1320","14","1300","20","Utuado","PR"
"00646","38199","614","47","5","48","0","16","16","37453","298666","102","46350","28800","Dorado","PR"
"00647","6172","42","6","0","1","0","0","0","6123","0","0","0","0","Ensenada","PR"
"00650","14998","72","7","0","6","0","0","1","14912","58","2","0","58","Florida","PR"
"00652","4715","47","1","0","0","0","0","1","4666","0","0","0","0","Garrochales","PR"
"00653","13307","57","11","2","2","1","3","1","13230","2089","12","2089","0","Guanica","PR"
